user_id,game_id,match_type,entry_credit_type,entry_price_dollars,entry_price_coins,prize_dollars,prize_coins,started_at,total_players,match_rank,seconds_until_result
grljjnB0W3TeQF4zbmYSgK8fje73,Domino,BRAWL,DOLLAR,0.6000,300.0,0.0,,2023-12-01 06:16:42,5,4,1256
i1bSrM2dhIQdnKkKRSi3SBF9PMS2,21Blitz,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:16:51,5,1,7753
ycv5gjeeA0OuzoSsToa2WEkYn3z2,Match3,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:16:58,5,4,109
TsjC0GcG20cnZh8kQr2vEKn390g2,Bingo,BRAWL,COIN,,120.0,,160.0,2023-12-01 06:17:07,5,2,554
rnnyg31NzHWxpQNVt4O4TKwuHEn2,BallBlast,BRAWL,COIN,,50.0,,30.0,2023-12-01 06:17:15,5,3,1074
dJaLK4L8MwcKsKszUFNlvZcLyEs2,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:17:35,5,5,267
7DrKxjFc3jUwz2YZAlh2EfS52Op2,Match3,BRAWL,DOLLAR,0.5000,,1.3,,2023-12-01 06:17:39,5,2,144
b6jdeqXLqvUkEYQ4ggpmr3oRuxC2,BubbleShooter,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:18:06,5,5,218
ejJdHkVW1pNesQ04NTPYeuck6ac2,Match3,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:18:19,5,1,281
cYgf2qZvptgtTkZhgwEzx23GIqX2,Match3,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:18:22,5,2,307
IkN6C3c5qEYTpBD8zRDwBsCDAz72,BallBlast,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:18:36,5,5,966
JKJ8dvVjFlghKmfDMaS6BlGshZJ2,Pool,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:18:36,5,5,320
4KH3YWCl8CbTuCRaF0K8CbsBxBc2,Bingo,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:18:39,5,5,179
WA4J9tBl85dI7UlDHb0SCW6WfPh1,PokerBlast,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:18:51,5,5,590
jAk9ws33aWZKWVDaa1Ylqb57fLS2,KlondikeSolitaire,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:19:56,5,1,4519
OiWrYu1lPEfgJtcGlFg6kGMwmay2,Pool,BRAWL,DOLLAR,1.0000,,1.3,,2023-12-01 06:20:18,5,2,615
mVQEHmXdQGNjfmyimExXMYja86R2,Match3,BRAWL,DOLLAR,0.5000,,3.0,,2023-12-01 06:20:22,5,1,122
dJaLK4L8MwcKsKszUFNlvZcLyEs2,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:21:24,5,5,98
HtUYGoMNDEcXcKT4I9Xf0RXKcdZ2,KlondikeSolitaire,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:21:30,5,2,628
R1KmLKgytZPWZEXDy72wGyvWvpl1,KlondikeSolitaire,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:22:02,5,4,316
zxKViHNt04eupGkPqk88xtboG3k1,21Blitz,BRAWL,DOLLAR,1.0000,,0.0,,2023-12-01 06:22:08,5,4,671
wvctfgGAf2XOGZmEs4eq8zCBw2J3,Match3,BRAWL,DOLLAR,1.0000,,0.5,,2023-12-01 06:22:11,5,3,142
8DUvWlBGPsghY9NyJRUX3XtBtoI2,Match3,BRAWL,DOLLAR,0.6000,300.0,0.0,,2023-12-01 06:22:27,5,4,708
vkHk4KbZQjfkfue7yFxPG5LRp9O2,GridBlocks,BRAWL,DOLLAR,1.0000,,1.3,,2023-12-01 06:22:37,5,2,543
SeUDJWE6JaVlpAYd8FLxwnqOwph1,Match3,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:22:41,5,2,180
8FRsOIcL3UVdAR2Xq0ZSpYQ5iZH3,Match3,BRAWL,DOLLAR,1.0000,,1.3,,2023-12-01 06:22:43,5,2,134
66qvst8ZeYaXcCSmWaIf9MMt9jM2,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:22:50,5,4,328
Rlk3b4dG3MQTeeUM7NpqaaIk1CP2,KlondikeSolitaire,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:23:02,5,5,292
62z34t7zxqc80spXCA4DJVW2Dg02,KlondikeSolitaire,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:23:07,5,4,150
iuFcvx3YObb9aHmpQbAbkgeOxJl2,Domino,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:23:20,5,4,712
UDm60VN6jUMhT3iHcbUsMQnXU9C3,Pool,BRAWL,COIN,,120.0,,0.0,2023-12-01 06:23:24,5,5,677
pVWiv9BWiaboxNRIb7XbNLQEB9F3,BubbleShooter,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:23:32,5,5,138
ZIMD8zer4LhjOq2Yy69Fga47UpA2,Match3,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:23:37,5,2,229
eAbDDcgbbfgYpIsbABYMT1oNs0f2,Match3,BRAWL,DOLLAR,1.0000,,0.5,,2023-12-01 06:23:42,5,3,500
quVpN3oz1gSDrlsDn2RzYP8hZrj1,Domino,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:23:59,5,4,217
GkPkhJEgJNTcYScnvuz50PPuwrj1,KlondikeSolitaire,BRAWL,DOLLAR,1.0000,,3.0,,2023-12-01 06:24:02,5,1,219
uVcRV3Fm0SWwJMOJzZfkBfwyBQJ3,KlondikeSolitaire,BRAWL,COIN,,50.0,,30.0,2023-12-01 06:24:35,5,3,359
jPuDUboEb3aDlSbebyALtkzqcnk1,Bingo,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:24:43,5,1,101
W0SIyQU7OlfnKb5dNvmXOthtODQ2,BallBlast,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:24:44,5,2,1657
SDtpHiSBg7ctJctZCitrdfpSDJs2,Bingo,BRAWL,DOLLAR,0.6000,300.0,0.4,,2023-12-01 06:24:47,5,3,264
a4uwN1Gl6GYqoS7pIbmrvauhZpF3,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:24:47,5,5,233
hLUltlHzLjWDJySV0zfbklAe2hb2,Match3,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:25:03,5,4,3911
LrsNLouZfFUsyuo0LjL8VM4uJt02,KlondikeSolitaire,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:25:07,5,1,310
gco5iJHyv7MMNHCDxIaVUOca6f63,Match3,BRAWL,COIN,,120.0,,0.0,2023-12-01 06:25:09,5,4,170
an08w8Mo0tMunLcgCAbrJw08Gih2,GinRummy,BRAWL,COIN,,1000.0,,0.0,2023-12-01 06:25:17,10,6,17789
vy2BaEyWJChCdwkR5tpZnQ4dQBK2,KlondikeSolitaire,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:25:19,5,1,282
RsHq0VJU66SGhcRmVa7ts1x4udf1,Pool,BRAWL,DOLLAR,1.0000,,0.0,,2023-12-01 06:25:20,5,5,408
JjH73Ucb14PikzA5cxaI8bYJYwm2,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:25:21,5,5,283
kDsmybcu3OgPGv3945bGa9nNGon1,GridBlocks,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:25:22,5,1,129
xT6TEDNOPlSFh80uzJG96zAhpEt2,Bingo,BRAWL,COIN,,1000.0,1.0,,2023-12-01 06:25:26,10,1,316
mchUv5clrzaoIovKitMjqAPAxam1,BubbleShooter,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:25:31,5,2,364
5x4ccX2IgehcZNfDUpWRYhpmox02,Match3,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:25:39,5,4,103
CbsQKg097TQGkLQH8GZ0icBspL72,Bingo,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:25:40,5,5,503
r7A3t7PPxNTG4MywzYMAwNFdxNd2,GridBlocks,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:25:40,5,2,302
FUqu3v9uWVXpdT7a5zWTTUww5CK2,Pool,BRAWL,COIN,,50.0,,30.0,2023-12-01 06:25:42,5,3,1003
camZHQwpt8fsjjeE4reejOKVYwg1,Match3,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:25:53,5,2,127
z7aAEHlybdP5nDNTvjUIhlBefT02,TripeaksSolitaire,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:26:05,5,1,272
32pyvKmvtba1MhzFgRj3ULKmVE73,Bingo,BRAWL,DOLLAR,5.0000,,0.0,,2023-12-01 06:26:06,10,6,1082
EtbnH73eb1bAMoImerOhtrbICpv2,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:26:08,5,5,114
ZTqBtFwhLdbUBafxhccOqhUDuo02,KlondikeSolitaire,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:26:13,5,4,308
gy9iUdMD76SoXf64HFATBesfPtI2,Bingo,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:26:14,5,5,458
uQif4ayVisRxzaHMxpnK5axFt3l2,Yatzy,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:26:14,5,1,500
V0Z2bTL5xlUr8FWAEIAJdusKYfF3,Match3,BRAWL,DOLLAR,8.0000,,16.0,,2023-12-01 06:26:16,5,1,2383
cJBDziFUCCaAckOM9bTdUcCMkR93,KlondikeSolitaire,BRAWL,DOLLAR,1.0000,,0.5,,2023-12-01 06:26:17,5,3,202
yD7caIF3lcYrY0L2FK5Tf0gon312,Bingo,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:26:18,5,1,403
WbaBqMXQuFUDunO0nTfv9iZZfow2,Bingo,BRAWL,DOLLAR,2.0000,,0.0,,2023-12-01 06:26:20,5,4,620
lfAzJtNF5lcUQVH9XsFlR96Cnb73,Domino,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:26:21,5,2,778
tstVNeDqxkQojaHEK21HcRI3q5W2,Match3,BRAWL,COIN,,50.0,,30.0,2023-12-01 06:26:26,5,3,161
g5LvC9Iw5CdkEMjAGKvuBgEaNJ23,Bingo,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:26:27,5,1,144
i6TriAU2dncZXdth4x8rnoLoo772,Bingo,BRAWL,COIN,,120.0,,240.0,2023-12-01 06:26:32,5,1,1274
rYHQJuNxu8X1T6J0AVzBHDtFJvJ3,Bingo,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:26:32,5,1,448
xprDud0cjcP0YRUnzHyRXJ87ovy2,Pool,ONE_VS_ONE,COIN,,100.0,,180.0,2023-12-01 06:26:33,2,1,171
mhQl8MPXgjVdp2A31za7IG1k0my1,Bingo,BRAWL,DOLLAR,1.0000,,3.0,,2023-12-01 06:26:37,5,1,1512
gy4NGJIWKRgc1nKmoaudMxx21QD3,KlondikeSolitaire,BRAWL,COIN,,120.0,,0.0,2023-12-01 06:26:37,5,5,276
UU0w68up9gOd19KuCblmuGifcHy1,Bingo,BRAWL,COIN,,120.0,,100.0,2023-12-01 06:26:39,5,3,387
L55hDxlOvahwi4gpIF0Or3BnIh52,Bingo,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:26:43,5,2,523
T3b1hsPEPvMf2jHIFGZRcOHoLFn1,Bingo,BRAWL,DOLLAR,1.0000,,0.0,,2023-12-01 06:26:44,5,5,141
dNgKGTuppbRmqb111SjJcjxod1A3,BubbleShooter,BRAWL,DOLLAR,5.0000,,0.0,,2023-12-01 06:26:45,10,10,128
bbdMj0gOsabroWANzWO2qKoeNiw1,KlondikeSolitaire,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:26:50,5,5,290
kkKXqDuAmTUPSO56F7E50PIotGp2,Match3,BRAWL,COIN,,50.0,,30.0,2023-12-01 06:26:52,5,3,137
lf0WUgqeLlefith6GpGUNIWHj513,Bingo,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:26:53,5,2,335
i9dYe2n94JMihwzwwSWYoPHbyL83,KlondikeSolitaire,BRAWL,COIN,,1000.0,0.6,,2023-12-01 06:26:53,10,2,128
trQJtCgFNtNdYdELF9VTuX4fVYy2,Match3,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:26:56,5,1,133
sqvr4GTCvVYPUWqTXTb8jiLJlkj1,WheelOfFortune,BRAWL,DOLLAR,1.0000,,1.3,,2023-12-01 06:26:58,5,2,388
FnJnr0OoHEVb46851yxjaBr3qct2,KlondikeSolitaire,BRAWL,DOLLAR,1.0000,,0.0,,2023-12-01 06:26:59,5,5,525
YzVeDbcTj3U71U0OTomG8sNfLQ12,WheelOfFortune,BRAWL,DOLLAR,0.6000,300.0,1.5,,2023-12-01 06:27:01,5,1,385
xGU67dUGbmQz1eUyZWvWPsybCYp2,BubbleShooter,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:27:03,5,1,267
RD8GvxwiHvRCyos4Ks6ehSHgxId2,Bingo,BRAWL,DOLLAR,100.0000,,200.0,,2023-12-01 06:27:03,5,1,6548
T50uOV3JtOZXKZnZhupAZOeymT72,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:27:06,5,5,138
rN4QMWoCbSQI7nYmZLJfiUwA6Yc2,Bingo,BRAWL,DOLLAR,5.5000,,6.5,,2023-12-01 06:27:09,5,2,115
1i6IFvX23ONUouHfZn9ricnbF4e2,KlondikeSolitaire,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:27:10,5,4,86
0DummD8RO2ZGmtxxnTJvlXszaNq2,Match3,BRAWL,DOLLAR,3.0000,,3.5,,2023-12-01 06:27:13,5,2,175
ehTesJclgKO0w90e2MJqTqiJuK32,TripeaksSolitaire,BRAWL,COIN,,50.0,,70.0,2023-12-01 06:27:15,5,2,471
e4Gl17RJtaP7H3DU9lxRRIILSVy2,KlondikeSolitaire,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:27:15,5,1,265
Ux1WuBCaJ6fmZjbfmn0yx8OO87a2,GridBlocks,BRAWL,COIN,,50.0,,120.0,2023-12-01 06:27:17,5,1,127
F5arw4AfktfkqIdHTX4lD0BEZ1p1,GridBlocks,BRAWL,DOLLAR,2.0000,,0.5,,2023-12-01 06:27:19,5,3,359
0iTeFGcAesUm40IFXNzkHygw3S53,BubbleShooter,BRAWL,COIN,,120.0,,100.0,2023-12-01 06:27:23,5,3,1843
qwBOnGXKsJbZ5TMVeF4fhKHrToc2,GridBlocks,BRAWL,COIN,,50.0,,0.0,2023-12-01 06:27:24,5,5,586
mmh770MR09hDBGBcbGiAgW4Ot2P2,GridBlocks,BRAWL,DOLLAR,1.0000,,0.0,,2023-12-01 06:27:24,5,5,554
DEZsYqOwYsZD8wf1RBrLb9ou3B32,GridBlocks,BRAWL,COIN,,50.0,,30.0,2023-12-01 06:27:25,5,3,134
